Genomic bins	SERC_517_10	SERC_517_11	SERC_517_12	SERC_517_13	SERC_517_8	SERC_517_9	SERC_517_6	SERC_517_7	SERC_517_4	SERC_517_5	SERC_517_3	SERC_Zymo_Pos_Control
bin.80	0.956080427961	0.486845760952	0.700485232386	0.559635118104	0.735265849723	0.918970368193	0.386413104793	1.01599295465	0.671641453561	0.199226753614	0.489702694331	0.00123190850433
bin.306	1.09134921549	0.34929538649	0.566882393174	0.462464456024	0.719369197221	0.557397015796	0.502292210078	0.997518064416	0.542316251933	0.398692309031	0.739433877982	0.00530210119463
bin.241	0.507728841223	0.30665147403	0.371005467227	0.516083373045	1.03031357944	0.433873500468	0.479132300198	0.591382572492	0.954525677368	0.215549526292	1.45535000485	0.00540564978808
bin.316	1.51721620784	0.49715767409	1.06570655814	0.721876671832	0.317580064464	0.524989031801	1.04559911766	1.12721659247	0.962507739575	0.766822999677	1.02914219783	0.0
bin.68	2.35002434008	1.01585288858	0.233453316904	0.324086004615	1.29397191981	0.646954008411	11.6815456036	0.743140352814	1.15156635471	3.40466424496	1.88469225368	0.00678942484483
bin.132	5.56237796492	0.0997480299305	0.949112638701	0.153945201903	0.0903702441505	1.1065794149	0.493715078191	2.60875328973	0.282205224255	0.0586968582865	0.65655368514	0.00611692214246
bin.26	1.74434760778	0.327759572915	0.813823854546	0.510839186922	0.596471312733	1.32907721365	0.424138882238	0.934911722563	0.638522701325	0.204324429566	0.448438922058	0.0
bin.228	1.4953426107	0.0132019581789	0.395124662264	0.649731335933	0.332668432805	0.136666269007	0.688793750296	0.189336868577	0.418983690975	0.0507590566873	2.42530106378	0.00485371370079
bin.38	1.36925940555	3.39324156648	0.539943785945	2.51657583608	4.93538683117	1.29213826355	6.36573172949	1.60034884415	2.83086918762	2.79846481573	2.43756686563	0.019964421522
bin.33	0.0342865454427	0.0670133659707	0.0220068129947	0.0363285151258	0.0345327993138	0.0267890231047	4.1266417482	0.025583779802	0.0126340735931	0.0302956791193	0.0125628191483	0.0123076540893
bin.281	0.730330931053	0.645516975642	0.905453758003	0.920774169376	1.05703263426	1.21321735537	0.262449719156	0.571978360565	1.49128470772	0.326868493989	1.55413741013	0.00415905455055
bin.235	5.02094106418	0.0176707517954	13.3436674843	3.57377835473	1.32805329591	3.82477552134	0.0575740408622	14.3063344431	1.08689445224	0.02929221278	7.67519251583	0.0224960077414
bin.232	2.17821919515	0.290282812813	1.06866750566	0.76782053968	0.402403551252	0.653315554814	1.58825973653	1.25695394179	19.7401486863	1.48004528971	4.57526979553	0.0143713540408
bin.260	1.34468875478	0.0131370598712	1.92637045051	0.248721401221	0.274826964563	2.53169528917	0.570052952734	1.1552148143	0.928421431207	0.0285702329578	1.99231407888	0.00334783042855
