bin.105.fa	Bacteria_97;Proteobacteria_94;Gammaproteobacteria_94;Cellvibrionales_80;Cellvibrionaceae_99;Cellvibrio_56;Cellvibrio sp. PSBB023_91
bin.115.fa	Bacteria_96;Actinobacteria_84;Actinobacteria_61;Candidatus Nanopelagicales_91
bin.193.fa	Bacteria_99;Proteobacteria_97;Alphaproteobacteria_93;Rhodobacterales_85;Rhodobacteraceae_99
bin.1.fa	Bacteria_100;Firmicutes_96;Bacilli_100;Lactobacillales_100;Lactobacillaceae_99;Lactobacillus_84
bin.224.fa	Bacteria_98;Proteobacteria_83;Gammaproteobacteria_64
bin.247.fa	Bacteria_93;Bacteroidetes_92;Flavobacteriia_95;Flavobacteriales_100;Flavobacteriaceae_100
bin.285.fa	Bacteria_96;Bacteroidetes_65;Flavobacteriia_65;Flavobacteriales_100;Flavobacteriaceae_100
bin.207.fa	Bacteria_96
bin.180.fa	Bacteria_89
bin.243.fa	Bacteria_94
bin.151.fa	Bacteria_98;Bacteroidetes_90;Flavobacteriia_97;Flavobacteriales_100;Flavobacteriaceae_99
bin.284.fa	Bacteria_99;Proteobacteria_93;Alphaproteobacteria_90;Rhodobacterales_81;Rhodobacteraceae_99
bin.290.fa	Bacteria_98;Proteobacteria_97;Gammaproteobacteria_95;Oceanospirillales_87;Oceanospirillaceae_100;Thalassolituus_99;Thalassolituus oleivorans_100
bin.57.fa	Bacteria_99;Proteobacteria_97;Alphaproteobacteria_97;Pelagibacterales_98;Pelagibacteraceae_91;Candidatus Pelagibacter_61;Candidatus Pelagibacter sp. IMCC9063_69
bin.279.fa	Bacteria_99;Actinobacteria_94
bin.113.fa	Bacteria_93;Bacteroidetes_65;Flavobacteriia_59;Flavobacteriales_100;Flavobacteriaceae_93
bin.33.fa	Eukaryota_83
bin.229.fa	Bacteria_97
bin.24.fa	
bin.237.fa	Bacteria_99;Proteobacteria_93;Gammaproteobacteria_95;Pseudomonadales_96;Pseudomonadaceae_100;Pseudomonas_70
bin.170.fa	Bacteria_99;Bacteroidetes_95;Flavobacteriia_93;Flavobacteriales_100;Flavobacteriaceae_99
bin.106.fa	Bacteria_98;Actinobacteria_86;Actinobacteria_100
bin.77.fa	Bacteria_88;Bacteroidetes_84;Flavobacteriia_95;Flavobacteriales_100;Flavobacteriaceae_100
bin.143.fa	Bacteria_96
bin.278.fa	Bacteria_82
bin.34.fa	Eukaryota_53
bin.72.fa	Bacteria_99;Bacteroidetes_95;Cytophagia_96;Cytophagales_100;Cyclobacteriaceae_99;Algoriphagus_90;Algoriphagus sp. M8-2_100
bin.303.fa	Bacteria_98;Proteobacteria_89;Gammaproteobacteria_87
bin.199.fa	Bacteria_99;Proteobacteria_98;Gammaproteobacteria_97;Aeromonadales_95;Aeromonadaceae_100;Aeromonas_91
bin.324.fa	Bacteria_99;Proteobacteria_90;Gammaproteobacteria_94;Alteromonadales_62;Alteromonadaceae_54
bin.331.fa	
bin.219.fa	Bacteria_99;Proteobacteria_79;Gammaproteobacteria_74
bin.162.fa	Bacteria_98;Bacteroidetes_90;Flavobacteriia_97;Flavobacteriales_100;Flavobacteriaceae_99
bin.145.fa	Bacteria_99;Cyanobacteria_84;Synechococcales_99;Synechococcaceae_100
bin.20.fa	Bacteria_62
bin.147.fa	Bacteria_98;Proteobacteria_91;Gammaproteobacteria_92
bin.17.fa	Bacteria_91
bin.94.fa	Bacteria_87;Proteobacteria_54;Oligoflexia_56;Bacteriovoracales_100;Halobacteriovoraceae_69
